Aufnahmenummer;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54
Lilium martagon;KS;r;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linaria alpina;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+
Lonicera xylosteum;KS;;r;;;+;;+;;;;;;;;;;;;;;;;;;;;;;+;;+;+;+;+;+;;r;;;;;;;;;;;+;;r;;;;+
Lotus corniculatus;KS;;;;;;;;;;;;;;;;;;;;+;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taraxacum officinale;KS;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maianthemum bifolium;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melampyrum sylvaticum s.str.;KS;;;1;+;;+;;;;;;;;;;+;1;+;2a;1;;;;;;1;;;+;1;+;;;+;+;;;;;;;;;+;;;;;;1;;;1;
Melica ciliata;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melica nutans;KS;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;+;;;;;;
Mercurialis perennis s.str.;KS;1;1;+;+;+;;;;;;;;;;+;+;;;;;;;;;;+;;;;+;;+;;;;;;1;;;;;;;;;;;+;;;;;
Molinia caerulea agg.;KS;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;;;;1;1;2a;;2b
Mycellis muralis;KS;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;r;;+;+;;;;;
Origanum vulgare subsp. vulgare;KS;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;;;;;;;;;;;;;;+;;1;1;r;+;;+;
Oxalis acetosella;KS;;;;;1;1;1;;;;;;;;;+;1;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;
Petasites paradoxus;KS;;;;;;;;;;;;;;;;;;;+;1;;;;+;;;;;;;;+;+;1;+;2a;2a;;;;;;;;;;;;;;;;;
Peucedanum cervaria;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;
Peucedanum oreoselinum;KS;;;;;;;;;r;;+;r;;;;;;;;+;;r;;;;;;;+;;;;;r;;;;;+;;;;;;;;;;;;+;;;r
Phyteuma orbiculare s.str.;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Picea abies;KS;+;r;+;;+;+;+;;;;;;;;+;+;+;;+;+;;r;;;;;;;1;+;+;;;1;+;+;+;;;;;;;;;;;r;r;;;;;+
Pimpinella major;KS;;;;r;;;;;;;;;;;;;;;+;+;;;;;;;;;;+;;;+;;1;;;;;;;;;;;;;;;;;;;
Pimpinella saxifraga;KS;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinus mugo s.str.;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinus sylvestris;KS;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polygala amara ;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;+;;;;;;;;;;;;;;;;r
Polygala chamaebuxus;KS;;;+;1;;+;;+;+;;;r;r;1;;;;+;1;1;r;+;+;;+;1;+;;1;+;2a;;;;+;;;+;;+;;;;+;;;;;;1;1;;;+
Polygonatum multiflorum;KS;;;;+;+;;;;;;;;;+;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polygonatum odoratum;KS;;;;1;+;;;1;+;;;;;;+;;+;;1;;;r;;+;;+;;;1;+;+;+;;;1;+;;+;r;;;;;+;;;;;;2a;;+;+;
Polystichum aculeatum;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Populus nigra;KS;;;;;;;;r;;;r;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Potentilla caulescens;KS;;;;;;;;;;+;;;;;;;;;;;+;r;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;
Prenanthes purpurea;KS;+;+;+;+;;;+;;;;;;;;1;+;;+;+;+;;;;;;;;;;+;+;+;+;;+;r;;1;;;;;;;;;;+;+;;;;;
Prunella grandiflora;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pteridium aquilinum;KS;;;+;1;;;+;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pulmonaria officinalis;KS;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhamnus cathartica;KS;;;;;;;;;1;;;r;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;+;;;;;
Rhamnus glazialis;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhamnus pumila;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhamnus saxatilis;KS;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;+;;;2a;;;2a;;;;;;;;;
Rhinanthus glacialis;KS;;;;;;;;r;;+;;;;1;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;+
Rhododendron hirsutum;KS;;;;;;;;;;;;;;;;;;;;+;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ribes nigrum;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosa sp.;KS;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosa arvensis;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosa canina;KS;;;;;;;;;;;;;;;1;;;;1;;;;;;;r;;;+;;;+;+;+;;;+;;;;;;;;;;;+;;;;;;
Rosa pendulina;KS;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;r;;;;;;;;1;;;;;;
Rosa tomentosa;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;
Rubus ideaus;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Rubus Section Rubus;KS;;+;1;;+;;;;;;;;;;;;;;;;;;;;;;;;+;;+;+;+;;;;1;;;;;;;;;;r;1;+;;;;;
Rumex scutatus;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r
Salix appendiculata;KS;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;r
Salix eleagnos;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix purpurea;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix sp.;KS;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salvia glutinosa;KS;;;+;r;+;;+;;;;;;;;1;;2m;+;+;1;;;;;;;;;1;;;+;2a;;+;;;+;;;;;;;;;;+;;;;;;+
Scabios holomparia;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r
Scabiosa lucida;KS;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;r;+
Sedum album;KS;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Sedum sp.;KS;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sempervivum hirtum;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Senecio abrotanifolius;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seseli libanotis;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sesleria caerulea s.str.;KS;;;1;3;1;;;+;;1;+;1;;;;;;;1;2a;;1;2a;;1;2a;1;;2a;;;2a;;3;1;;;;1;2a;;2a;2a;;;;;2b;1;2a;;2a;+;
Silene vulgaris;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;
Silene vulgaris glaereosa;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Solidago virgaurea subsp. Vigaurea;KS;;;+;r;;;r;;;;;;;;+;+;+;+;1;1;;;;+;;;;;1;1;+;+;1;;1;+;;1;;;;;;;;;;;+;;;+;+;
Sorbus aria s.str.;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Sorbus aucuparia;KS;;r;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;r;;
Staphylea pinnata;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;
Stipa calamagrostis;KS;;;;;1;;;;;;1;1;;;;;;;;3;;;1;;;;;;;;;;;2a;1;;1;;;;;;;;;;;;;;;;;
Taxinium myrtilis;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;;
Taxus baccata;KS;;r;+;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teucrium chamaedrys subsp. Chamaedrys;KS;;;;;;;;;;;;;;;+;;;;;+;;;;1;;r;;;;;;;;;;;;;;;;;;;+;;;;;+;1;+;;+
Teucrium montanum;KS;;;;;;;;+;1;r;+;+;1;;;;;;;;;+;1;;+;;;;+;;;;;;;;;;+;+;1;+;+;;;;;;;;1;;;+
Thalictrum minus;KS;;;;;;;;1;+;;;r;;r;;+;;;;;+;+;+;r;+;;;;;;;;;;;;;;;r;+;;+;+;;;;;;;1;;;
Tilia cordata;KS;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;+;;;;;;;;
Tilia platyphyllos;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tofieldia calyculata;KS;;;;;r;;;;;;;;;;;;;;;r;r;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulmus glabra;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;
Urtica dioica;KS;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;KS;+;+;+;r;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;+;;;;;;
Valeriana tripteris;KS;;;;;;;;;;;+;;;;+;2m;+;1;;;;;;;;;;;1;;+;+;;;;;;;;;;;;;;;+;1;+;r;;;;r
Veronic urtifolia;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;r;;;;;
Viburnum lantana;KS;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;2a;;;;;;;+;;;;;;;+;;;;;;;;;
Viburnum opulus;KS;;;;;r;;;;;;;;;r;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Vincetoxicum hirundinaria;KS;;;+;+;;+;+;+;r;;+;;+;+;;;r;+;;;;;1;;+;r;;;;;;;;;;;1;;;+;r;r;;;;;;r;r;1;1;+;+;r
Viola hirta;KS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viola sp.;KS;;;;;;;;;r;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;
Ctenidium molluscum;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denidium muluscom;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoamlothecium lutescens;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tortella tortuosa;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;SS;;1;1;+;;;;;;;;;;+;;;;;1;1;;;;r;;+;;;;;;;1;;1;;1;1;;;;;;+;;2a;1;;;;;;;
Amelanchier ovalis;SS;;;;;;;;;;;;;;1;;;;;;;;1;+;+;;1;;;1;;;;;;;;1;;1;1;;;;+;1;;;1;;2b;2a;2a;1;
Berberis vulgaris;SS;;;;;r;;;;;;;;;;;1;;;;;;;;;;;;;;;;;+;1;;;;;;;;;;+;;;;;;;;;;
Betula pendula;SS;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2a;;;;;;;;;;;;;;;;;
Carpinus betulus;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clematis vitalba;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;
Clematis vitalba;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cornus mas;SS;;;;;;;;;;;;;;;1;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cornus sanguinea subsp. sanguinea;SS;;;;;;;;;;;;;;;2a;;;1;;+;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;+;+;;2a;;2a;
Corylus avellana ;SS;;+;+;;;1;+;2a;;;;;;;2a;2b;1;1;1;;;;;2a;;2a;;;1;1;2a;3;2a;;2a;1;2a;2a;;;;;;2a;;2b;4;2b;2b;2b;2a;;;+
Cotoneaster tomentosus;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daphne mezereum;SS;;;;;r;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euonymus europaea;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;
Euonymus europaea;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
Euonymus latifolia;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Fagus sylvatica;SS;3;1;+;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;
Frangula alnus;SS;;;1;;+;;+;r;;;;;;1;;;;;;;;;1;+;;;;;;;;;;+;;;;;;+;;;;2a;2a;;;;;;;;r;+
Fraxinus excelsior;SS;;;;;;;;;;;;;;;+;2a;;;1;;;;;;;;;;;+;;;;;;;;;;;;;;+;;;1;1;+;;;;2a;
Hedera helix;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hippocrepis emerus;SS;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Juglans regia ;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;
Juniperus sabina;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Larix decidua;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ligustrum vulgare;SS;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2a;;;
Lonicera xylosteum;SS;;;;;;;+;;;;;;;;1;1;+;1;2a;;;;;;;+;;;;+;2a;;1;;;;;;;;;;;;;;;+;;;;;;
Malus sp.;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Picea abies;SS;;;+;;1;;+;;;;;;;;;;;1;1;1;;;;;;;;;;+;;+;;1;2a;;;1;;;;;;;;;;;;;;;;r
Pinus sylvestris;SS;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;
Populus sp.;SS;;;;;;;;+;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prunus avium;SS;;;;;;;;;;;;;;;1;;+;;;;;;;;;;;;;;1;;;+;;;;;;;;;;;;;;;;;;;3;
Rhamnus cathartica;SS;;;;;;;;;;;;;;;;;+;;;+;;;;2a;;;;;;1;;;;;;;;;;;;;;;;;;+;+;2a;2a;1;;
Rhamnus pumila;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhamnus saxatilis;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;
Rhododendron hirsutum;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosa canina;SS;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Rosa pendulina;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;1;;;;;
Rosa tomentosa;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix ;SS;;;;;;;;;;;;;;;;;;;wie Aufnahme 20 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix appendiculata;SS;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;+;;;;;;+;;;;;;;1;;;;;;;2a
Salix eleagnos;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix purpurea;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix sp.;SS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sorbus aria s.str.;SS;;;+;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2a;1;;;+;+;
Sorbus aucuparia subsp. Aucuparia;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staphylea pinnata;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taxus baccata;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tilia cordata;SS;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2a;;;;1;;;;;
Tilia platyphyllos;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulmus glabra;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viburnum lantana;SS;;;;;;;;;;;;;;+;+;;;;;;;;;1;;1;;;1;+;2a;1;;;;1;;1;;;;;;1;2a;;;;;;;;;
Viburnum opulus;SS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
